time,select
2021-07-23 08:00:00+08:00,ETH
2021-07-24 08:00:00+08:00,ETH
2021-07-25 08:00:00+08:00,BTC
2021-07-26 08:00:00+08:00,BTC
2021-07-27 08:00:00+08:00,BTC
2021-07-28 08:00:00+08:00,BTC
2021-07-29 08:00:00+08:00,ETH
2021-07-30 08:00:00+08:00,BTC
2021-07-31 08:00:00+08:00,ETH
2021-08-01 08:00:00+08:00,ETH
2021-08-02 08:00:00+08:00,ETH
2021-08-03 08:00:00+08:00,BTC
2021-08-04 08:00:00+08:00,ETH
2021-08-05 08:00:00+08:00,ETH
2021-08-06 08:00:00+08:00,BTC
2021-08-07 08:00:00+08:00,ETH
2021-08-08 08:00:00+08:00,BTC
2021-08-09 08:00:00+08:00,BTC
2021-08-10 08:00:00+08:00,ETH
2021-08-11 08:00:00+08:00,ETH
2021-08-12 08:00:00+08:00,BTC
2021-08-13 08:00:00+08:00,ETH
2021-08-14 08:00:00+08:00,BTC
2021-08-15 08:00:00+08:00,ETH
2021-08-16 08:00:00+08:00,BTC
2021-08-17 08:00:00+08:00,BTC
2021-08-18 08:00:00+08:00,ETH
2021-08-19 08:00:00+08:00,ETH
2021-08-20 08:00:00+08:00,BTC
2021-08-21 08:00:00+08:00,BTC
2021-08-22 08:00:00+08:00,BTC
2021-08-23 08:00:00+08:00,ETH
2021-08-24 08:00:00+08:00,BTC
2021-08-25 08:00:00+08:00,BTC
2021-08-26 08:00:00+08:00,ETH
2021-08-27 08:00:00+08:00,ETH
2021-08-28 08:00:00+08:00,BTC
2021-08-29 08:00:00+08:00,BTC
2021-08-30 08:00:00+08:00,ETH
2021-08-31 08:00:00+08:00,ETH
2021-09-01 08:00:00+08:00,ETH
2021-09-02 08:00:00+08:00,BTC
2021-09-03 08:00:00+08:00,ETH
2021-09-04 08:00:00+08:00,BTC
2021-09-05 08:00:00+08:00,BTC
2021-09-06 08:00:00+08:00,BTC
2021-09-07 08:00:00+08:00,BTC
2021-09-08 08:00:00+08:00,ETH
2021-09-09 08:00:00+08:00,BTC
2021-09-10 08:00:00+08:00,BTC
2021-09-11 08:00:00+08:00,ETH
2021-09-12 08:00:00+08:00,ETH
2021-09-13 08:00:00+08:00,BTC
2021-09-14 08:00:00+08:00,BTC
2021-09-15 08:00:00+08:00,ETH
2021-09-16 08:00:00+08:00,BTC
2021-09-17 08:00:00+08:00,BTC
2021-09-18 08:00:00+08:00,BTC
2021-09-19 08:00:00+08:00,BTC
2021-09-20 08:00:00+08:00,BTC
2021-09-21 08:00:00+08:00,BTC
2021-09-22 08:00:00+08:00,ETH
2021-09-23 08:00:00+08:00,BTC
2021-09-24 08:00:00+08:00,BTC
2021-09-25 08:00:00+08:00,ETH
2021-09-26 08:00:00+08:00,ETH
2021-09-27 08:00:00+08:00,BTC
2021-09-28 08:00:00+08:00,BTC
2021-09-29 08:00:00+08:00,ETH
2021-09-30 08:00:00+08:00,BTC
2021-10-01 08:00:00+08:00,ETH
2021-10-02 08:00:00+08:00,ETH
2021-10-03 08:00:00+08:00,BTC
2021-10-04 08:00:00+08:00,BTC
2021-10-05 08:00:00+08:00,BTC
2021-10-06 08:00:00+08:00,BTC
2021-10-07 08:00:00+08:00,ETH
2021-10-08 08:00:00+08:00,BTC
2021-10-09 08:00:00+08:00,BTC
2021-10-10 08:00:00+08:00,BTC
2021-10-11 08:00:00+08:00,BTC
2021-10-12 08:00:00+08:00,ETH
2021-10-13 08:00:00+08:00,ETH
2021-10-14 08:00:00+08:00,ETH
2021-10-15 08:00:00+08:00,BTC
2021-10-16 08:00:00+08:00,ETH
2021-10-17 08:00:00+08:00,BTC
2021-10-18 08:00:00+08:00,BTC
2021-10-19 08:00:00+08:00,BTC
2021-10-20 08:00:00+08:00,ETH
2021-10-21 08:00:00+08:00,ETH
2021-10-22 08:00:00+08:00,ETH
2021-10-23 08:00:00+08:00,ETH
2021-10-24 08:00:00+08:00,BTC
2021-10-25 08:00:00+08:00,BTC
2021-10-26 08:00:00+08:00,ETH
2021-10-27 08:00:00+08:00,BTC
2021-10-28 08:00:00+08:00,ETH
2021-10-29 08:00:00+08:00,ETH
2021-10-30 08:00:00+08:00,BTC
2021-10-31 08:00:00+08:00,ETH
2021-11-01 08:00:00+08:00,ETH
2021-11-02 08:00:00+08:00,ETH
2021-11-03 08:00:00+08:00,ETH
2021-11-04 08:00:00+08:00,ETH
2021-11-05 08:00:00+08:00,BTC
2021-11-06 08:00:00+08:00,ETH
2021-11-07 08:00:00+08:00,BTC
2021-11-08 08:00:00+08:00,BTC
2021-11-09 08:00:00+08:00,BTC
2021-11-10 08:00:00+08:00,ETH
2021-11-11 08:00:00+08:00,ETH
2021-11-12 08:00:00+08:00,BTC
2021-11-13 08:00:00+08:00,BTC
2021-11-14 08:00:00+08:00,BTC
2021-11-15 08:00:00+08:00,ETH
2021-11-16 08:00:00+08:00,BTC
2021-11-17 08:00:00+08:00,ETH
2021-11-18 08:00:00+08:00,BTC
2021-11-19 08:00:00+08:00,ETH
2021-11-20 08:00:00+08:00,BTC
2021-11-21 08:00:00+08:00,BTC
2021-11-22 08:00:00+08:00,ETH
2021-11-23 08:00:00+08:00,ETH
2021-11-24 08:00:00+08:00,BTC
2021-11-25 08:00:00+08:00,ETH
2021-11-26 08:00:00+08:00,BTC
2021-11-27 08:00:00+08:00,BTC
2021-11-28 08:00:00+08:00,ETH
2021-11-29 08:00:00+08:00,ETH
2021-11-30 08:00:00+08:00,ETH
2021-12-01 08:00:00+08:00,BTC
2021-12-02 08:00:00+08:00,BTC
2021-12-03 08:00:00+08:00,BTC
2021-12-04 08:00:00+08:00,ETH
2021-12-05 08:00:00+08:00,ETH
2021-12-06 08:00:00+08:00,ETH
2021-12-07 08:00:00+08:00,BTC
2021-12-08 08:00:00+08:00,ETH
2021-12-09 08:00:00+08:00,BTC
2021-12-10 08:00:00+08:00,BTC
2021-12-11 08:00:00+08:00,ETH
2021-12-12 08:00:00+08:00,BTC
2021-12-13 08:00:00+08:00,BTC
2021-12-14 08:00:00+08:00,BTC
2021-12-15 08:00:00+08:00,ETH
2021-12-16 08:00:00+08:00,ETH
2021-12-17 08:00:00+08:00,ETH
2021-12-18 08:00:00+08:00,ETH
2021-12-19 08:00:00+08:00,BTC
